Name, SubZoneID
Nixon Fork Terrane, 18104
Indochina, 60405
Indochina, 60405
Indochina, 60404
Indochina, 60405
Indochina, 60404
Indochina, 60403
Angayucham Terrane, 18103
Banda Arc, 676
Banda Arc, 676
North Sulawesi, 669
North Sulawesi, 669
Mindoro, 563
West Luzon, 737
West Luzon, 737
West Luzon, 737
West Luzon, 737
E. Extent Orogenic Belt, 344
Bering Shelf, 16140
Bering Shelf, 16140
Bering Shelf, 16140
South Anuyi Suture Zone, 42201
South Anuyi Suture Zone, 42201
North China, 601
Atlas, 714
South Southwest Honshu and Kyushu, Japan, 631
South Southwest Honshu and Kyushu, Japan, 631
South Southwest Honshu and Kyushu, Japan, 631
South Southwest Honshu and Kyushu, Japan, 631
South Southwest Honshu and Kyushu, Japan, 631
South Southwest Honshu and Kyushu, Japan, 631
South Southwest Honshu and Kyushu, Japan, 631
South Southwest Honshu and Kyushu, Japan, 631
Lhasa, 606
North Baja California, 101
South China, 602
Sinai, Africa, 508
Sinai, Africa, 508
Sinai, Africa, 508
Sinai, Africa, 508
Sinai, Africa, 508
Sinai, Africa, 508
Baja California, 105
Baja California, 105
Baja California, 105
Baja California, 105
Baja California, 105
Baja California, 105
W. Hokkaido-Oga Peninsula, 626
W. Hokkaido-Oga Peninsula, 626
W. Hokkaido-Oga Peninsula, 626
Falkland Islands/Malvinas Block, 28900
Falkland Islands/Malvinas Block, 28900
Falkland Islands/Malvinas Block, 28900
Falkland Islands/Malvinas Block, 28900
New Hebrides, 827
New Hebrides, 827
New Hebrides, 827
New Hebrides, 827
New Hebrides, 827
New Hebrides, 827
New Hebrides, 827
New Hebrides, 827
New Hebrides, 827
New Hebrides, 827
New Hebrides, 827
New Hebrides, 827
New Hebrides, 827
New Hebrides, 827
New Hebrides, 827
Yarakvaam Terrane, 43207
Oloy Terrane, 43206
Cenral Verkhoyansk, 43202
Alazeya Arc within KOST, 43205
Alazeya Uplift, 43205
Omulevka Terrane 1, 43204
Angayucham Terrane OCT, 18103
Angayucham Terrane, 18103
San Jorge Plate, southernmost South America, 28011
San Jorge Plate, southernmost South America, 28011
San Jorge Plate, southernmost South America, 28011
San Jorge Plate, southernmost South America, 28011
San Jorge Plate, southernmost South America, 28011
San Jorge Plate, southernmost South America, 28011
San Jorge Plate, southernmost South America, 28011
San Jorge Plate, southernmost South America, 28011
San Jorge Plate, southernmost South America, 28011
San Jorge Plate, southernmost South America, 28011
San Jorge Plate, southernmost South America, 28011
San Jorge Plate, southernmost South America, 28011
San Jorge Plate, southernmost South America, 28011
San Jorge Plate, southernmost South America, 28011
San Jorge Plate, southernmost South America, 28011
San Jorge Plate, southernmost South America, 28011
San Jorge Plate, southernmost South America, 28011
San Jorge Plate, southernmost South America, 28011
San Jorge Plate, southernmost South America, 28011
San Jorge Plate, southernmost South America, 28011
San Jorge Plate, southernmost South America, 28011
San Jorge Plate, southernmost South America, 28011
San Jorge Plate, southernmost South America, 28011
